season,week,matchup_id,is_playoff,is_consolation,home_team_id,home_team_name,home_score,away_team_id,away_team_name,away_score,winner,margin,home_owner_name,away_owner_name,home_owner_slug,away_owner_slug
2023,10,,0,0,4,RidenforBiden BBB,158.0,5,McDonalds all Day breakfast ,121.0,RidenforBiden BBB,37.0,Mike,Max,mike,max
2023,10,,0,0,2,Cincinnati Gun Owners Club,87.0,3,Magic SkolBus,108.0,Magic SkolBus,21.0,Gerson,Marcel,gerson,marcel
2023,11,,0,0,1,Shoneys Squanch Squad,112.0,10,Tanner's team,106.0,Shoneys Squanch Squad,6.0,Ethan,Tanner,ethan,tanner
2023,11,,0,0,8,Team King,105.0,4,RidenforBiden BBB,120.0,RidenforBiden BBB,15.0,Connor,Mike,connor,mike
2023,11,,0,0,3,Magic SkolBus,149.0,6,CeeDeeCee Guidelines,88.0,Magic SkolBus,61.0,Marcel,Nathaniel,marcel,nathaniel
2023,11,,0,0,7,BYE-WEEK,105.0,5,McDonalds all Day breakfast ,97.0,BYE-WEEK,8.0,Justin,Max,justin,max
2023,11,,0,0,2,Cincinnati Gun Owners Club,123.0,9,R.I.P. Kirko Chainz ,75.0,Cincinnati Gun Owners Club,48.0,Gerson,Tyler,gerson,tyler
2023,12,,0,0,4,RidenforBiden BBB,155.0,3,Magic SkolBus,110.0,RidenforBiden BBB,45.0,Mike,Marcel,mike,marcel
2023,12,,0,0,5,McDonalds all Day breakfast ,96.0,1,Shoneys Squanch Squad,131.0,Shoneys Squanch Squad,35.0,Max,Ethan,max,ethan
2023,12,,0,0,10,Tanner's team,110.0,2,Cincinnati Gun Owners Club,108.0,Tanner's team,2.0,Tanner,Gerson,tanner,gerson
2023,12,,0,0,7,BYE-WEEK,123.0,8,Team King,105.0,BYE-WEEK,18.0,Justin,Connor,justin,connor
2023,12,,0,0,6,CeeDeeCee Guidelines,127.0,9,R.I.P. Kirko Chainz ,125.0,CeeDeeCee Guidelines,2.0,Nathaniel,Tyler,nathaniel,tyler
2023,13,,0,0,5,McDonalds all Day breakfast ,99.0,2,Cincinnati Gun Owners Club,135.0,Cincinnati Gun Owners Club,36.0,Max,Gerson,max,gerson
2023,13,,0,0,4,RidenforBiden BBB,130.0,7,BYE-WEEK,112.0,RidenforBiden BBB,18.0,Mike,Justin,mike,justin
2023,13,,0,0,9,R.I.P. Kirko Chainz ,140.0,3,Magic SkolBus,87.0,R.I.P. Kirko Chainz ,53.0,Tyler,Marcel,tyler,marcel
2023,13,,0,0,1,Shoneys Squanch Squad,154.0,8,Team King,82.0,Shoneys Squanch Squad,72.0,Ethan,Connor,ethan,connor
2023,13,,0,0,6,CeeDeeCee Guidelines,153.0,10,Tanner's team,133.0,CeeDeeCee Guidelines,20.0,Nathaniel,Tanner,nathaniel,tanner
2023,14,,0,0,9,R.I.P. Kirko Chainz ,114.0,8,Team King,127.0,Team King,13.0,Tyler,Connor,tyler,connor
2023,14,,0,0,6,CeeDeeCee Guidelines,85.0,1,Shoneys Squanch Squad,100.0,Shoneys Squanch Squad,15.0,Nathaniel,Ethan,nathaniel,ethan
2023,14,,0,0,10,Tanner's team,93.0,4,RidenforBiden BBB,119.0,RidenforBiden BBB,26.0,Tanner,Mike,tanner,mike
2023,14,,0,0,3,Magic SkolBus,128.0,5,McDonalds all Day breakfast ,128.0,TIE,0.0,Marcel,Max,marcel,max
2023,14,,0,0,2,Cincinnati Gun Owners Club,145.0,7,BYE-WEEK,121.0,Cincinnati Gun Owners Club,24.0,Gerson,Justin,gerson,justin
2023,15,,1,0,1,Shoneys Squanch Squad,106.0,5,McDonalds all Day breakfast ,137.0,McDonalds all Day breakfast ,31.0,Ethan,Max,ethan,max
2023,15,,1,0,6,CeeDeeCee Guidelines,117.0,9,R.I.P. Kirko Chainz ,108.0,CeeDeeCee Guidelines,9.0,Nathaniel,Tyler,nathaniel,tyler
2023,15,,1,0,4,RidenforBiden BBB,101.0,2,Cincinnati Gun Owners Club,81.0,RidenforBiden BBB,20.0,Mike,Gerson,mike,gerson
2023,15,,1,0,3,Magic SkolBus,164.0,10,Tanner's team,98.0,Magic SkolBus,66.0,Marcel,Tanner,marcel,tanner
2023,15,,1,0,8,Team King,104.0,7,BYE-WEEK,88.0,Team King,16.0,Connor,Justin,connor,justin
2023,16,,1,0,6,CeeDeeCee Guidelines,102.0,5,McDonalds all Day breakfast ,131.0,McDonalds all Day breakfast ,29.0,Nathaniel,Max,nathaniel,max
2023,16,,1,0,3,Magic SkolBus,134.0,4,RidenforBiden BBB,103.0,Magic SkolBus,31.0,Marcel,Mike,marcel,mike
2023,16,,1,0,1,Shoneys Squanch Squad,112.0,9,R.I.P. Kirko Chainz ,62.0,Shoneys Squanch Squad,50.0,Ethan,Tyler,ethan,tyler
2023,16,,1,0,2,Cincinnati Gun Owners Club,137.0,10,Tanner's team,113.0,Cincinnati Gun Owners Club,24.0,Gerson,Tanner,gerson,tanner
2023,16,,1,0,8,Team King,83.0,7,BYE-WEEK,100.0,BYE-WEEK,17.0,Connor,Justin,connor,justin
2023,17,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,17,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,17,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,17,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,17,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,18,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,18,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,18,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,18,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,18,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,19,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,19,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,19,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,19,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
2023,19,,1,0,8,Team King,88.0,7,BYE-WEEK,140.0,BYE-WEEK,52.0,Connor,Justin,connor,justin
2023,20,,1,0,3,Magic SkolBus,102.0,5,McDonalds all Day breakfast ,125.0,McDonalds all Day breakfast ,23.0,Marcel,Max,marcel,max
2023,20,,1,0,4,RidenforBiden BBB,109.0,6,CeeDeeCee Guidelines,127.0,CeeDeeCee Guidelines,18.0,Mike,Nathaniel,mike,nathaniel
2023,20,,1,0,1,Shoneys Squanch Squad,107.0,2,Cincinnati Gun Owners Club,97.0,Shoneys Squanch Squad,10.0,Ethan,Gerson,ethan,gerson
2023,20,,1,0,9,R.I.P. Kirko Chainz ,49.0,10,Tanner's team,107.0,Tanner's team,58.0,Tyler,Tanner,tyler,tanner
